Question,Answer
How to process orders in bulk?," - Open your app and go to Orders from the bottom menu.  - Press and hold the screen to start selecting multiple orders at once.  - If you wish, you can also 'Select All' orders at once.   - Next, go to your top-right corner and click Ship Now to assign a courier to your orders.       "
How to ship an order?," - Open your app and go to Orders from the bottom menu  - Go to the New tab and click on the Ship Now button  - Select your preferred courier and schedule a pickup for your order.   - The order will move to the Shipments tab. From here, you can download a label, invoice, and manifest for your order.  - You can also track your order from here.  "
Is it possible to reassign my shipment to a different courier partner once the manifest has been generated?," Yes, even if you've generated a manifest for your shipment, you can still reassign it to a different courier partner. Please follow the steps below to learn more:     a) Open the Shiprocket App and navigate to the Shipments section in the bottom bar.     b) Navigate to All Shipments and find your order.     c) Next, go to the top-right corner of your screen and click on the 'more' icon.     d) From the list of options, choose 'Reassign.' You'll be taken to a new page where you can choose another courier partner for your shipment.    "
Shiprocket App: How do you make a duplicate/clone order?," Shiprocket makes it simple to clone or duplicate an order. To learn more, follow the steps below:     a) Open the Shiprocket App and select Orders >> All Orders from the bottom bar.  b) Choose the order you want to clone.  c) On the following page, go to the top-right corner and click the 'Menu' icon to clone your order. "
Shiprocket App: How to cancel an order?," To cancel an order, please follow the steps outlined below:     1. Open the Shiprocket App and go to Orders in the bottom bar.     2. Navigate to the All Orders section and select your order.     3. Select the Cancel option by clicking the three dots.     4. You can cancel an order from this page. "
What Is Shiprocket Secure? How Do I Activate It for My Account?," Sellers are covered under Shiprocket Secure against damaged or lost packages. If you choose to secure a shipment and it get lost or destroyed during transit (Forward or RTO), you will be compensated for the declared worth of the contents of your shipment.        Shiprocket Secure Conditions:      List of Goods Covered Under Shiprocket Secure     List of Goods Not Covered Under Shiprocket Secure        How to activate Shiprocket Secure:     1. Sign in to your account and select Settings from the left-hand menu.     2. Shiprocket Secure is available under 'Shipment Features.'     3. Turn the toggle to secure all future shipments with a value greater than Rs. 5000.        Alternatively, you can choose to secure a shipment when selecting a courier partner.        Shiprocket Secure Claim:     You must submit a formal request to Shiprocket along with a Certificate of Fact to raise the claim. The same information will be provided to the insurance company, which will validate the claim (or denies the claim). If it is approved, your bank account will be credited with the declared amount.        Claim Documentation:     In case of damaged goods received:      - Manifest/digital stamp proof from ShipRocket’s system  - COF – Certificate of Fact which is given by logistics at the time of claim  - Proof of delivery  - Images of damaged products  - Shipping label and invoice copy of the item for which claim is being raised  - Airway Bill No / LR / RR  - Self-survey till INR 20,000/- claim amount. The surveyor shall be appointed for claims more than INR 20,000/- and
any other requirement can be checked on case to case basis         In case of goods not delivered to the customer but damaged product received by the seller during return shipment: ITC A coverage
applicable     - Manifest/digital stamp proof from client systems   - COF – Certificate of Fact which is given by logistics at the time of claim  - Proof of non-delivery to customer  - Images of damaged products to check the extent of damages  - Shipping label and invoice copy of the item for which claim is being raised  - Airway Bill No / LR / RR  - Self-survey till INR 20,000/- claim amount. The surveyor shall be appointed for claims more than INR 20,000/- and
any other requirement can be checked on case to case basis.     In case of goods delivered to a customer which is not as specified in the invoice or opened for whatsoever reason but product received by the seller during return shipment in damaged condition: ITC B coverage applicable      - Manifest/digital stamp proof from client systems  - COF – Certificate of Fact which is given by logistics at the time of claim  - Images of the product at the time it is delivered to the consignee  - Proof of rejection by the consignee  - Images of products after the accident to check the extent of damage  - Proof of accident ( surveyor shall be appointed for claims more than INR 20,000/- and any other requirement can be checked on case to case basis)  - Shipping label and invoice copy of the item for which claim is being raised  - Airway Bill No / LR / RR     In case of shortage/ lost/ misplaced consignment:     - Manifest/digital stamp proof from client systems  - COF – Certificate of Fact which is given by logistics at the time of claim  - Shipping label and invoice copy of the item for which claim is being raised  - Airway Bill No / LR / RR  - In case of Lost claims internal Investigation report to be provided by logistic partner on email, describing the loss of a shipment and it details Copy of Police FIR required for individual claim more than INR 50,000/-.  - Self-survey till INR 20,000/- claim amount. The surveyor shall be appointed for claims more than INR 20,000/- and
any other requirement can be checked on case to case basis       "
Shiprocket: How to download shipping invoices and labels?," Download Shipping Invoices:     1) From the left menu, select Orders. This will take you to the New tab, where you will be able to see all of your orders.     2) For a Single Order - Click on the Horizontal Dots (Meatballs) menu located near the Ship Now button to download the invoice for your order.     3) For Bulk Orders - Simply select all of your orders for which you want the invoice to be downloaded. Once you've made your selection, navigate to the Bulk Actions menu and click the Download Invoice button.        Download Shipping Labels:     1) From the left menu, select Orders. Here go to the Ready to Ship tab.  2) For a Single Order - Click on the Horizontal Dots (Meatballs) menu located near the Ship Now button to download the label for your order.    3) For Bulk Orders - Simply select all of your orders for which you want the label to be downloaded. Once you've made your selection, navigate to the Bulk Actions menu and click the Download Label button. "
Why do I need to upload package images?,"    Uploading photographs of your package is not required, but highly recommended. This allows us to determine the size and shape of your package.     Note: Upload a minimum of three and a maximum of five package images. Please take pictures from various angles to give us a good idea of the dimensions and shape of your package. "
Can I change the payment mode of my order if it’s in the out for delivery status?, You cannot change the payment mode if your order is in any of the following statuses:     1. Out for Delivery  2. RTO or Return to Origin  3. Delivered  4. Lost/Damaged/Destroyed     Note: You can change the payment mode of your shipment if it's in the NDR status.  
How to download my orders report?," Here's how you can download your orders re1) From the left menu, select the Orders tab. Because the Orders report is tab-specific, each tab generates a report for its own orders.      Select a tab and go to the top-right corner of your screen and click the download icon.  The report will be emailed to your registered email address, but you can also download it from the Reports section of your Shiprocket account.        "
What is a pickup ID?," Pickup ID is an alphanumeric unique ID that is generated to group all your shipments together based on the pickup address ID, courier, and scheduled date. Simply click on the pickup ID to view your shipments.     Case 1: Five shipments with the same courier partner are scheduled for the following day: In this case, a single pickup ID will be generated for all five shipments.     Case 2: Five shipments are scheduled for the following day with different courier partners: In this case, a unique pickup ID will be generated for each shipment. "
How do I find my pickup ID?," To find pickup ID, follow the steps below:     a) Log in to your account  b) Click on Orders and click on the Pickup Tab.  c) Here, you'll find the unique pickup ID against your scheduled pickups.  "
Can shipments be moved from one pickup ID to another?," Yes, under certain conditions, this is possible. Assume you have two pickup IDs:     SRPID-1001 - Five shipments are scheduled for pickup on the same day.  SRPID-1002 - Three shipments are scheduled for next-day pickup.     When the courier arrives to pick up the shipments with pickup SRPID - 1001, he also picks up two shipments with pickup SRPID-1002 because they were also ready at the time. In this particular case, two of the three shipments from SRPID-1002 will be moved to SRPID- 1001. "
Can I still use Manifest ID to escalate pickup delays?,"   No New escalations will be available on Manifest ID. To report any pickup delays, please use Pickup ID.  "
What is the difference between a pickup ID and a Manifest ID?,"   In Shiprocket, we recently added pickup ID, which allows you to escalate pickup delays. Manifest ID will now be used to report any post-pickup disputes.     "
What happens to a pickup ID if all shipments are canceled?,   The pickup ID will be automatically removed from the system if all shipments in that pickup ID are canceled.     
What are the various Pick up ID statuses?, The following are the various statuses:     a) Pick up Scheduled: Pickup of shipments has been scheduled.  b) Pick up Completed: All shipments were picked up.  c) Pick up Canceled: All shipments associated with a pick up ID are canceled.  d) Partially completed: Only a few shipments were picked up from a specific pickup ID.  e) Pickup Exception: When a courier company attempted pickup but was unable to complete it due to unforeseen circumstances.    
In what circumstances can different pickup IDs be generated?," Your shipments can have two different pickup IDs if;    One is scheduled before the pickup cut-off time, and the other is scheduled after pickup cut-off time on a given day.    The pickup addresses for both shipments are different.    Both shipments are scheduled to be delivered by different courier companies.   "
What will be the role of Manifest ID?,"   The Manifest and Manifest ID are still valid for pickup and are required when handing shipments over to the pickup executive. Furthermore, except for pickup escalation, a Manifest ID is required to raise all other pickup-related issues.     "
Will this have an impact on the pickup process in the Shiprocket mobile apps as well?,"   Yes, from now on, pickup escalation in Shiprocket Mobile Apps will be based on the pickup ID rather than the Manifest ID. When you raise an escalation, you'll be able to see the pickup ID.     "
Can I modify the order details after I've scheduled pickup?," Please keep in mind that once a courier has been assigned to your order, you will not be able to modify the details.  "
How do I handle pickup delays in my Shiprocket account?," Please be assured that if there is a delay, the Shiprocket team has already escalated it. However, if you are dissatisfied and wish to escalate, please follow the steps outlined below:     1. From the left menu, select Orders and then the Pickups tab.  2. There is an Escalate button next to the Pickup ID that has not been picked up.  3. Select your escalation reason by clicking the escalate button.   4. Next, add your remarks and click Escalate button to proceed.           "
Can I cancel a picked up shipment?, You can’t cancel a shipment that is picked up. Shipments can only be canceled before handover to couriers.  
Can I update the details of an already picked shipment?, There is no such option available to update the details of your already picked shipments.      
Shiprocket: What documents are required for KYC verification?," At Shiprocket, we have a simple process for KYC verification. For this, you need:     KYC For Individual: Complete your KYC by using the automated process of Aadhar OTP verification. You can also do it manually by uploading any of the two documents listed below:     - Aadhaar Card  - PAN Card  - Passport  - Voter ID Card  - Driving License      KYC For Company:      A) In case of a Sole Proprietorship business, please submit the following documents-         a. Upload your photo or selfie         b. Complete your KYC details using automated Aadhaar or GSTIN OTP verification, or using a manual method by submitting any of the two documents listed below:    - Aadhar Card  - PAN card  - DL  - Voter card  - Passport  - GST Certificate  - Company Incorporation Doc    B) In case you are registering as a Company, please submit the following documents-                a. Upload your photo or selfie               b. Complete your KYC using the GSTIN OTP verification. or using a manual method by submitting any of the two documents listed below:     - PAN Card ( Mandatory )     - GST Certificate ( all 3 pages of the GST certificate are required), or Company Incorporated Document.     We request you to upload clear documents regarding your KYC in the panel to avoid any rejection or failure.         NOTE: For manual KYC verification, it takes 2 - 3 working days to verify the documents. "
My KYC verification failed. What should I do now?," After submission of details, Shiprocket team manually checks your entries within 24 - 48 business hours & approves or rejects your application based on what they find.     Here's why your KYC verification may have failed:     1. Name on both documents does not match 2. Uploaded images are not clear 3. Uploaded photocopy image does not match with the original document image 4. Mentioned document ID is Incorrect 5. Uploaded documents are not valid ones 6. Same document image uploaded for both documents 7. Document belong to an underage person 8. Selfie is invalid "
Explaining shipping zones: How shipment zones affect order fulfillment and rates?," Courier companies have divided all serviceable pin codes into multiple shipping zones. Each shipping zone has multiple sets of pin codes and a definite definition. Your shipping metrics like Freight (Forward & RTO) Charges and Delivery Time depends on the shipping zone in which your selected pin codes falls.    How courier companies define shipping zones in Shiprocket:    Zone A (Within City) - If Pickup and Delivery pin codes are in the same city.    Zone B (Within State/region) - If Pickup and Delivery pin codes are in the same state/region.    Zone C (Metro to Metro) - If both Pickup and Delivery pin codes are in metro cities    Zone D (Rest of India) - If any or both pickup and delivery pin codes are in India. This excludes any pin code of North East region and J&K region.    Zone E - If one or both cities are in North East states, J&K, Kerala and Himachal Pradesh. "
What are the necessary steps to be fulfilled for hassle free COD remittance?," To get a hassle-free COD remittance, ensure the following:   Bank details are updated in your Shiprocket panel in which you want the amount to get remitted.  Your Shiprocket wallet balance is always positive [only for prepaid sellers].  There is no freight invoice pending for more than 30 days.  "
How many times do I get freight invoices in a month?," We bill our customers twice in a month, therefore you would receive freight invoices at the mid and end of every month.    "
What happens if I don't pay my invoice?,"   If a Freight invoice is pending:     Here, we hold 1.5x of your COD remittance. We will transfer the pending remittance to your bank account as soon as you clear your invoice.      If a SaaS invoice is pending:     If your invoice is still overdue after the last date, you get 10 extra days to clear your invoice. After this, your account will be suspended. You can then downgrade to our Lite plan or renew your existing plan as required.       If you have any further query, you can call our customer support team at +91-9266623006.        "
How can I pay my shipping invoice?,"   To pay your shipping invoice, please follow the steps mentioned below:    Log into your Shiprocket panel    Click on the ‘Billings’ section from the left menu    Go to the ‘Invoices’ tab. Click on the ‘Pay’ option against the invoice number to process your payment       "
How do I contact the Shiprocket support team?," You can connect with the Shiprocket support team via chat, email, or call       Chat - Say hello to us via chat for a faster resolution. It's available at the bottom-right corner of your Shiprocket panel.    Email - We recommend you write an email in case you wish to contact us during offline hours. You can also write to us if you have over one query.    Call - We recommend you connect over a call if you have a time-sensitive concern and it needs to be addressed immediately.     Create a Ticket - You can also create a ticket from your Shiprocket panel if you are looking for fast resolutions on your query.    Please note that the support team is available between 09:00 AM to 07:00 PM on all 7 days of a week (except Govt. holidays).     Find the Shiprocket Support Escalation Matrix below for your reference:     Help Desk Line  9266623006  Call from your registered mobile number  Email Support  support@shiprocket.in  Write us from your registered email id  Escalation Desk  escalation@shiprocket.in  Write us with Ticket number in case you are not satisfied with the reply shared by the support team.  Feedback  feedback@shiprocket.in  Share your feedback if you are satisfied or unsatisfied with the Shiprocket support.    "
Why there is a weight discrepancy pop up on my screen?," Weight discrepancy arises when there's a difference between the weight given by the seller and the courier company. During this period, Shiprocket put the additional amount of difference on-hold. This pop up acts as a notification which tells you to take the appropriate action. You can either accept the discrepancy or raise a dispute.  "
Explain the different types of weight terminology used in the platform?," Different types of weight terminology used in the platform are mentioned below:-   Entered Weight:  It is the weight that the seller enters into the panel while processing an Order. (Note: The system takes 0.5 Kg as the minimum default weight for the shipment)  Volumetric Weight: It is weight calculated based on the dimensions ( L, B, H) entered for an order. This weight is calculated as (LxBxH)/5000 (for most of our courier partners) which measures the amount of space that an order will take in the carrier. The base factor to calculate the volumetric weight might vary for different courier partners.  Applied Weight: It is higher of two weights entered by the user i.e entered and volumetric weight on which the shipping charges are calculated.  Charged Weight: The weight for which you are charged by the courier company.       Shiprocket allows you to notice the final charged weight in the weight reconciliation tab.   For your convenience, there is an option to export the weight reconciliation sheet for your reference. The download icon at the top right corner is highlighted in the image below. To do so-   Go to Weight Panel from the left menu and select Weight Discrepancy.  Click on the Export option on the right side of the screen to download the report for all your orders.  "
What are the packaging tips to reduce weight errors in shipping?,"      Packaging tips can help you reduce weight errors in shipping. Some of these are-      The size of your package must be such that it exactly fits the product.  Make sure your packaging is well in contrast to the weight of your products.  Measure the dimensions of the package, instead of the product.   Keep a similar line of packaging for a similar category of products.  Choose a light weight packaging material.                     ARTICLE PROPERTIES             "
How to calculate the volumetric weight of my shipment?," Determine the volumetric weight of a box:      Divide the cubic size* of the package by 5,000* (in cm) to determine the volumetric weight in kilograms. Increase the fractions of weight to the next full kilogram.      Note: *Calculate cubic size: Multiply the length of the package by its width and height (each rounded up to the nearest whole centimetre).        Determine the volumetric weight of a cylinder:      Calculate the volume by multiplying the diameter (length) of the cylinder with its width. Then, multiply that number by the height of the package to get volume.     Next, divide the volume by 5000*(in cm) to determine the volumetric weight of your shipment.      Conversion Factor:     Volumetric Divisors:             Couriers::ARAMEX         => 6000,          Couriers::FEDEX_SURFACE => 4500,          Couriers::FEDEX_SURFACE_LIGHT => 4500,          Couriers::FEDEX_SURFACE_MIN => 4500,          'default'                => 5000 "
How long does it take to resolve my order weight dispute?,"   Once you raise a weight dispute, it gets forwarded to our weight experts at Shiprocket. Therefore, it takes a minimum of 7 days to get back to you with a resolution.     "
Why is my amount on-hold?," When a weight discrepancy raised against a shipment, we put your wallet amount on-hold. The on-hold amount is the additional charge that the courier has applied against the discrepancy. By reserving this amount, we make sure that no one will use this amount until the dispute is resolved.     "
How do I export the Weight Discrepancy report?," Yes, you can download all the weight discrepancy order report. Weight Discrepancy takes place when the weight mentioned by the user is different from the weight calculated by the carrier service.     To download a report for weight discrepancy:    Go to Weight Panel from the left menu and select Weight Discrepancy.     To download the weight discrepancy report, click the download icon in the upper-right corner of your screen.   "
"What is Forward, Reverse and Document in the Rate Card?"," The followings are the courier types available on the Rate Card screen:     Forward Courier Type: Forward courier type in which we deliver your shipment from your end to your consumer/customer/buyer.      Reverse Courier Type: Reverse courier type in which we manage the reverse movement of your shipment from your end user to you.      Document Courier Type: These couriers specialise in shipping lightweight shipments weighing up to 0.5kg such as documents, mobile phone bills, insurance bills, bank statements, annual general reports, pamphlets, direct mailers, invitation cards, and so on. "
What is Minimum Weight?, The lowest weight the courier can charge on any shipment is referred to as the minimum weight.  
What if no courier rule is applicable?," If no courier rule is applied to your shipment then your orders will proceed further with the default courier priority setting in your account.      By default Recommended by Shiprocket is the courier priority that is set in your account, where you enable us to decide the best for you depending on your shipping needs.        "
What is the delivery TAT for different international couriers?," The delivery TAT (Turnaround Time) refers to the amount of time it takes for a package to be delivered after it has been shipped. At Shiprocket, we offer three courier options with different delivery TATs:     SRX Premium - This courier has a delivery TAT of 10-15 business days.  SRX Priority - This courier has a delivery TAT of 8-12 business days.  Aramex International - This courier has the fastest delivery TAT of 5-7 business days.     Note: Please note that these delivery TATs are estimates and may vary based on various factors such as location, customs clearance, and other unforeseen circumstances.     "
What is the TAT for international shipping bills?, The TAT (Turnaround Time) for international shipping bills is 7-10 days. This means that it may take up to 10 days for the shipping bill to be generated and made available for you to access and download. 
Why can't I ship more than 30 KGs from Shiprocket?," There may be a variety of reasons why Shiprocket may not allow you to ship more than 30 kilograms internationally. Some possible reasons could include:     Shipping restrictions: Different countries have different restrictions on what can be shipped into the country. Some items may be prohibited or restricted, and certain weight limits may be imposed.     Carrier limitations: Different carriers have different weight limits for the packages they can transport. If the package exceeds the weight limit for the chosen carrier, it may not be accepted for shipping.     Cost: Shipping larger packages can be more expensive due to the increased weight and size. Shiprocket may have a weight limit in place to keep costs reasonable for both the seller and the customer.     It is always best to check with Shiprocket or the chosen carrier for specific weight limits and shipping restrictions before attempting to ship a package internationally. "
What all carriers does Shiprocket have for international shipping?, Shiprocket currently offers three carriers for international shipping:     SRX Premium    SRX Priority    Aramex International        Please note that the available carriers may vary depending on your location and the destination of the shipment. 
When will my International KYC be approved?," Your International KYC should be approved within 8-24 hours of submission. If it has been longer than this timeframe and you have not received confirmation of approval, please reach out to customer support for assistance. "
What is Whatsapp communication and how is it helpful?, WhatsApp communication is a proactive method of providing live tracking updates to buyers regarding the movement of their orders.      This is an engagement driving feature where we will send Order Tracking Status updates to your buyers on Whatsapp which will ultimately result in the reduction of your customer queries and also helps to reduce post-purchase anxiety for your buyers.     Benefits of WhatsApp Communication:      To keep your buyers updated in a Non-intrusive manner  To reduce post purchase anxiety  Improve read rate to 94% & Reduce customer queries by 30%      Pricing of Live Whatsapp Communication on Order Status     The price of this feature is also very affordable to perfectly fit within all sizes of budgets. You will be charged a minimal Rs 0.99 per message or an average of Rs 6.99 per order in which we sent 7 different status (excluding GST).        
Can I use WhatsApp Communication and then pay later?," We apologize, but at the moment we do not offer a ""buy now, pay later"" model. Payment for all transactions will be deducted from your wallet balance.    "
What are the benefits of Whatsapp Communication?, The followings are the benefits of WhatsApp Communication:       To keep your buyers updated in a Non-intrusive manner    To reduce post purchase anxiety    Improve read rate to 94% & Reduce customer queries by 30%   
How much will WhatsApp Communication cost me?, The price of this feature is also very affordable to perfectly fit within all sizes of budgets. You will be charged a minimal Rs 0.99 per message or an average of Rs 6.99 per order (excluding GST).  
Can I use my own messages to be sent to the buyer?," Currently, it is not possible to personalize the message that is sent to buyers. "
What is Delivery Boost?, Delivery Boost is a smart AI backed feature that helps you communicate with the buyer for your order delivery confirmation. AI initiates the delivery failure message to the customer and seeks confirmation to ‘reattempt delivery’. Shipments that get delivered on ‘reattempt request’ are considered as a Delivery Boost shipment. 
What are the features and benefits of Delivery Boost?," By enabling Delivery Boost, you get access to features:      AI-backed buyer communication via WhatsApp  On panel call buyer option  Visibility of extra revenue earned  Multiple channels to receive delivery validation from Buyers: WhatsApp, SMS, IVR, Manual Call      You’ll get to enjoy the benefits:      Increased revenue & delivery conversion  Reduced manual effort on customer calls  Reduced chances of return-to-origin (RTO)     "
How will I be charged for using the Delivery Boost service?," You will be charged for using the Delivery Boost service based on the extra revenue earned.      The extra revenue is calculated as the order value of the shipments that are raised in NDR.        If the shipment is successfully delivered on the buyer's reattempt response, you will be charged.     However, if the shipment is not delivered on the buyer's reattempt response or the buyer has responded with a return request, you will not be charged.       "
Can I switch back to NDR Buyer Flow?, You cannot switch back to NDR Buyer Flow as it is now known as Delivery Boost. 
What if I do not use Delivery Boost?," If you choose not to use Delivery Boost, you will no longer have access to the following benefits:       AI-backed buyer communication through WhatsApp    Option to call buyers directly from the panel    Visibility of additional revenue earned    Multiple ways to receive delivery validation from buyers including WhatsApp, SMS, IVR, and manual call.       You will only have the ability to handle NDR by:       Requesting a reattempt    Requesting a reattempt for fake attempts    Requesting RTO    Uploading NDRs in bulk    Downloading NDRs   "
What will be the invoice cycle of Delivery Boost?, The invoice cycle of Delivery Boost is once a month and will be generated in the first week of the month. 
Will I be charged for the Delivery Boost trial period?," No, you will not be charged for the Delivery Boost trial period. The charges will only be applicable if you opt-in to continue the service after the trial period has ended.    "
Will I be charged when the Delivery Boost trial period has ended?," No, you will not be charged when the Delivery Boost trial period has ended. The service will not be automatically enabled once the trial period is over. Charges will only apply when you choose to enable the Delivery Boost service. "
How to check the number of days remaining in the trial period?," To check the number of days remaining in the trial period, you can simply log into your Delivery Boost Dashboard and look above the ‘Try Demo’ option. There you will see the date when your trial period ends.    "
What is the process time for NDR?," We request you to take action on your NDR shipments at the earliest or within 24 hours. It will help in forwarding your information to the courier in real-time, which will result in a faster response time.     Case 1: No one takes an action     Here, we will try to take action on your behalf and request the courier partner to reattempt the delivery.     Case 2: Second attempt fails     Here, the order will again come in the NDR panel where you can take an action over it. If we receive no action from your end, we will again try to request the courier partner for a re-attempt. However, the reattempt depends on the courier partner.     Case 3: Buyer does not want the order     Let’s suppose a buyer said no to his/her order at the time of delivery. Here, the order will again come to the NDR panel where you can take an action over it.     "
How many attempts will be made by the courier company to deliver my order?," We provide a maximum of three attempts to deliver your order. However, it also depends on the selected courier partner and NDR reason. In general, most courier partners make three attempts before the order is marked RTO. However, few couriers mark RTO after the 1st attempt.       "
How long does it take for an action to be implemented on my undelivered shipment?,"   Generally, courier takes action within 24 to 48 hours on your undelivered shipment.     "
What is the RTO score feature for you?, RTO score feature is an in-house data analytics product built on 1 billion data points. It helps you to identify high or low risk orders and make calculative decisions on those orders.     
"What is High, Medium or low RTO predicted order?"," An order is tagged as High RTO when our analytical model identifies the buyer as risky based on multiple parameters like incorrect address, Incorrect mobile number or past RTO history     On the other hand, a Low RTO predicted order refers to an order where the buyer has a low chance of returning the order. This means that the buyer is a good buyer and you can ship any order value to the buyer     A Medium RTO predicted order would fall in between these two categories, indicating that the likelihood of the buyer returning the order is moderate. "
What are the benefits of the RTO Score Feature?," The RTO Score Feature offers several benefits for businesses.      One of the main benefits is that it helps to save on inventory and shipping costs by proactively alerting businesses against risky buyers.      This allows businesses to take a prior order confirmation against high RTO orders, which helps to save on forward or reverse costs and inventory costs.      Overall, the RTO Score Feature is a valuable tool for businesses looking to minimize costs and mitigate risks associated with online sales.    "
What action can I take on High & Low  RTO?," For High RTO orders, it is recommended to take buyer confirmation before shipping.      For Low RTO orders, you can save on order confirmation costs and ship them without any worry. "
How much will RTO Score cost me?," Currently, we charge Rs.3 per order for Low and High RTO orders. "
Can I use RTO Score feature now and Pay later?," No, we do not operate on use now and pay later models. Payment is required at the time of activation.    "
